Propanenitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-5.07752,6.4008,3.15397,1199
-5.02617,7.67958,1.2913,32279
-4.97453,7.64,1.06776,112603
-4.92188,7.78258,0.763394,78668
-4.85113,8.61819,1.13564,73881
-4.79839,8.8818,0.441671,117761
-4.74562,8.60205,0.0340299,39487
-4.6683,9.24391,1.41503,43396
-4.61566,9.25893,0.929211,116234
-4.56461,9.07268,0.278195,61382
-4.49824,9.95548,0.702462,10023
-4.42829,10.3729,1.59393,55638
-4.37734,10.2394,0.564562,117815
-4.32434,10.1088,-0.497448,50342
-4.24948,7.35123,0.767109,55039
-4.1969,6.68469,0.854482,118768
-4.14512,6.9416,0.694297,50495
-4.06909,7.62576,1.29295,30816
-4.01385,7.22592,0.844018,112777
-3.96282,7.19782,-0.0545349,79740
-3.89088,7.27621,0.918097,48906
-3.83575,7.30846,0.296591,120493
-3.78488,7.17189,-0.456054,60259
-3.71043,7.19094,1.28835,21080
-3.65183,7.2395,0.832013,95348
-3.60134,7.29454,-0.17149,98215
-3.53774,8.47261,-0.0507664,33002
-3.47203,9.00791,0.408415,94819
-3.42122,9.13744,0.00709197,98147
-3.35667,8.56353,0.415285,38235
-3.29269,8.36156,0.559783,99476
-3.24153,8.17012,0.00341078,92725
-3.17685,7.98588,0.0636794,31812
-3.11163,8.85629,0.0543661,91634
-3.06111,8.81869,-0.156083,99624
-3.00793,8.46999,-0.400938,20945
-2.92584,1.52462,0.308575,24709
-2.87327,0.113276,-0.00921316,107265
-2.82237,0,-0.559873,85659
-2.75197,5.39141,0.121279,44932
-2.69507,7.16827,-0.136762,115751
-2.64396,7.21762,-0.842239,69313
-2.57894,7.39333,-0.626078,11860
-2.5087,7.68134,0.242456,56643
-2.45732,7.60969,-0.326246,117620
-2.40459,7.32275,-0.781618,47939
-2.32906,5.8385,-0.2712,48026
-2.27606,6.11438,-0.972035,119777
-2.22196,6.17705,-1.38236,65394
-2.15133,9.10732,-0.277249,79357
-2.09924,9.13684,-0.55222,112237
-2.04661,8.83641,-1.00158,30232
-1.96637,5.8383,-1.05507,31629
-1.91432,6.22237,-1.54895,114462
-1.86387,6.61075,-2.12602,74578
-1.80029,6.53824,-1.67766,11913
-1.72839,6.44147,-0.0367334,57869
-1.67773,6.53866,-1.37052,120199
-1.62522,7.09152,-2.62604,44717
-1.54831,12.7696,-0.419788,36391
-1.49498,13.039,-1.02386,112105
-1.44256,12.3056,-1.52595,73776
-1.37099,10.537,-0.810506,56132
-1.31645,10.068,-1.53659,119821
-1.2652,10.3357,-2.52859,53388
-1.19187,9.1108,-1.55415,14554
-1.13055,8.6155,-0.752448,78870
-1.0797,8.80812,-1.80028,109447
-1.01779,9.62112,-1.84672,48696
-0.953113,10.464,-1.51338,104440
-0.902195,10.2026,-2.02513,88785
-0.846866,10.3814,-2.50713,15633
-0.767227,10.0462,-1.27159,34937
-0.714896,9.90367,-1.91381,112840
-0.66362,10.0707,-2.47641,69787
-0.59627,11.3239,-1.99533,17121
-0.529939,12.9911,-1.2122,73388
-0.479224,13.1669,-1.5335,112887
-0.427214,12.8144,-1.83861,30732
-0.347645,9.28726,-0.0930782,8761
-0.289571,8.82699,-0.172306,70455
-0.238997,8.80355,-0.372858,115581
-0.187607,8.6954,-0.77092,32855
-0.106786,8.48731,-0.340715,13967
-0.0511086,8.77003,-0.392113,87129
-0.000274594,9.03016,-0.60915,104876
0.0574866,10.3562,-0.595924,30281
0.130199,14.3817,0.245049,74864
0.180589,14.4144,-0.22079,113357
0.234337,14.9784,-0.380964,33193
0.312573,14.0788,-0.845282,38676
0.364563,14.7561,-0.917355,113922
0.419074,14.0573,-0.792763,78781
0.487577,8.97383,-0.529383,90224
0.539936,8.44515,-0.691271,107885
0.602024,8.15977,-0.617928,43417
0.667099,7.32899,-0.430164,103047
0.717963,7.38371,-0.809546,90265
0.770751,7.47987,-1.06445,14682
0.839021,9.69189,0.0196694,706
0.916209,10.6208,0.272047,12831
0.969097,11.2763,0.451567,87519
1.01934,11.2422,-0.0757648,104569
1.07991,11.3924,-0.617422,33838
1.14913,10.8347,-1.08468,83795
1.20116,10.6071,-1.23311,116055
1.26539,8.24963,-0.799937,97276
1.32069,7.50353,-1.10582,112734
1.37334,7.84254,-1.40103,32369
1.45343,11.3417,0.0415262,18692
1.50796,11.8322,-0.0728481,97324
1.55864,12.1197,-0.512532,96374
1.62027,10.4072,-0.676827,26377
1.68957,8.16132,-0.241217,77708
1.74025,8.17933,-0.942622,110748
1.79226,8.30996,-1.87923,28419
1.87365,11.4083,-0.176763,16570
1.92819,11.9343,-0.153286,90947
1.9791,11.9454,-0.511388,99699
2.0366,11.8768,-0.437536,26133
2.11132,11.7461,0.198007,58945
2.16205,11.8848,-0.253909,120024
2.21483,11.6423,-0.434846,42198
2.29124,11.7381,1.00611,43506
2.34466,11.4033,-0.426752,116412
2.39565,11.4162,-1.53277,64352
2.46999,10.0033,-0.283826,31535
2.52623,8.69202,-0.370468,111843
2.57642,8.78685,-1.0452,80580
2.6482,8.56175,-0.172876,29415
2.70703,7.8944,-0.385057,109257
2.7569,7.91339,-1.5877,86796
2.82411,11.501,-1.02945,22560
2.88885,13.0126,-0.0591021,84275
2.93969,12.9935,-0.465238,105228
2.9933,12.9673,-0.664481,25781
3.07325,14.9782,-0.191244,26350
3.12631,14.6641,-0.191839,106515
3.17741,14.9043,-0.288148,81997
3.23441,15.2163,-0.428878,14546
3.31301,13.4811,0.0973494,38113
3.36467,13.4855,-0.290578,118411
3.4159,13.8827,-0.801675,63718
3.48894,14.0217,-0.309221,33937
3.54646,14.3478,-0.431114,108220
3.59812,14.1258,-0.91858,84032
3.66779,13.2015,0.321428,62950
3.72292,13.2028,-0.701624,116627
3.77691,13.5111,-1.64793,55254
3.84953,14.9832,-0.349842,58351
3.90315,14.8696,-0.704268,116777
3.95453,14.864,-1.50523,47737
4.02974,13.5222,-0.805086,17601
4.08843,12.5751,-0.743219,84325
4.13991,12.5055,-0.584688,103598
4.19198,13.4045,-0.512724,24813
4.26194,14.4777,-1.17224,1958
4.33485,13.7131,0.550614,23331
4.38722,13.1007,-0.108147,108087
4.44333,12.1899,-0.653807,140251
4.50129,11.047,-0.79723,133622
4.55395,11.1172,-1.02697,45792
4.62836,12.1901,-0.248692,9730
4.69086,12.7373,0.244375,63900
4.7417,12.9545,0.0579117,117059
4.794,13.1775,-0.130703,38727
4.87247,13.9063,-2.48038e-05,31000
4.92568,14.8663,-0.314392,108932
4.97697,14.9207,-0.810288,79451
5.04631,13.1678,-0.277861,27083
5.10783,12.544,-0.0126849,97130
5.15858,12.6217,-0.349488,96197
5.22181,12.0742,-0.4662,29496
5.28866,11.6903,0.155561,90157
5.33937,11.6133,-0.309885,102797
5.39125,11.6912,-0.550505,20758
5.47435,11.2386,1.67689,4875
5.53173,12.5171,0.719254,55443
5.58277,12.635,-0.283676,121104
5.6414,12.9665,-0.838605,71950
5.70575,13.6291,-0.47315,109791
5.75741,13.6744,-1.03306,81074
5.82517,14.9068,-0.123912,28803
5.88783,15.4494,-0.281207,97070
5.93854,15.8083,-1.30046,96334
5.99415,16.4319,-2.05282,18914
6.07272,15.1931,0.170706,41379
6.12467,15.0799,-0.166194,115384
6.1768,14.865,-0.855291,67455
6.24976,14.1095,-0.102262,57264
6.30287,13.7858,-0.658661,118552
6.35438,13.7482,-1.14819,48320
6.40972,14.0976,-1.15832,4391
6.4964,17.8657,0.83035,1182
6.55421,19.288,0.413274,25746
6.60651,18.9138,-0.0159891,101751
6.65852,19.0462,-0.665697,87110
6.72747,16.4698,-0.789073,59753
6.78358,15.384,-0.786626,118378
6.83805,15.8661,-0.839673,65339
6.90851,15.8749,-0.385716,78869
6.9609,16.1955,-0.411078,112657
7.01225,16.9605,-0.296924,30390
7.06667,16.3054,-0.386331,1499
Butanenitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-6.89366,11.7292,0.0520067,605
-6.83797,9.96521,0.579047,16050
-6.78475,9.84418,0.634898,88955
-6.73359,9.6683,0.385681,99007
-6.68021,9.83774,0.0310577,22757
-6.59882,12.0132,0.921428,21254
-6.54557,11.9068,0.738443,100700
-6.49417,11.6722,0.293764,94488
-6.42601,10.4466,0.230988,60876
-6.36926,10.4065,0.152858,114301
-6.31644,10.3837,0.195005,59561
-6.24369,7.37741,1.05729,42774
-6.18799,7.105,1.02729,111118
-6.13668,7.35651,0.666662,69281
-6.07955,6.97198,0.140453,9490
-5.99884,9.32156,0.848329,29290
-5.94711,9.07098,0.458967,109750
-5.89497,9.11285,-0.0326837,82166
-5.82506,9.30341,0.1924,65680
-5.77019,8.51647,0.201369,118311
-5.71715,9.03044,0.161765,48774
-5.64196,8.02955,1.21007,52547
-5.58971,7.93768,0.646348,119871
-5.53844,7.42769,0.380935,51544
-5.46441,7.97002,0.662625,14065
-5.40369,8.90278,0.60503,75162
-5.3521,8.97602,0.246635,106863
-5.29718,8.91195,0.266849,35925
-5.22179,9.5688,0.896525,45459
-5.16891,9.26004,0.799544,113621
-5.11702,8.78091,0.80973,61706
-5.04521,7.11721,1.69837,21324
-4.98447,6.34464,1.81283,89271
-4.93368,6.08861,1.09515,100790
-4.88042,6.09714,0.607645,21578
-4.79878,4.88171,1.76867,19574
-4.74536,4.71044,1.55136,96004
-4.69417,4.32645,1.46231,93859
-4.63484,3.58553,1.41483,24492
-4.56218,2.62302,1.5349,61317
-4.51059,2.32067,1.46834,115200
-4.45359,3.2416,1.62988,54825
-4.38515,5.55998,0.981783,86762
-4.33291,5.10535,0.569447,105296
-4.27922,5.87495,0.264496,26408
-4.20009,5.48291,1.26159,33872
-4.14779,4.47648,1.09653,116538
-4.09606,4.76209,0.683544,72579
-4.0237,6.49695,1.46663,57741
-3.96969,6.58043,1.14221,119726
-3.91858,6.16381,0.582668,50731
-3.84237,5.32364,1.12707,21199
-3.78482,5.17061,1.21892,92577
-3.73425,5.26956,0.881058,96289
-3.67745,5.44614,0.633565,22717
-3.60093,5.6274,2.00253,46142
-3.54917,5.74838,1.38054,116822
-3.4944,5.79148,0.931294,68820
-3.42463,6.7141,1.13268,88425
-3.37344,6.49717,0.600692,106596
-3.32057,7.12436,0.596361,25379
-3.23869,7.51526,0.676661,17617
-3.1854,7.6871,0.41501,94830
-3.13402,7.8871,0.114345,97203
-3.07762,6.98941,0.352318,20843
-3.00069,6.63464,0.909159,42841
-2.94895,6.04166,0.799038,116380
-2.89489,6.61008,0.701202,68831
-2.82407,7.68133,0.480127,80234
-2.77215,7.98694,0.0846484,112449
-2.72032,7.67243,-0.199372,30375
-2.63955,4.97616,1.44865,12365
-2.58395,4.83615,1.01261,82046
-2.53248,4.68157,0.829179,106963
-2.47299,5.73012,0.551048,40649
-2.40475,6.90908,0.557685,90260
-2.35364,6.62238,0.339849,103041
-2.29992,6.33053,0.274666,21919
-2.21958,2.91942,0.301296,31722
-2.16742,3.25619,0.0755719,112594
-2.11649,3.41371,-0.310486,73262
-2.05059,4.60444,0.219639,17656
-1.98277,5.71219,0.424439,68087
-1.93135,5.68068,0.0331833,112661
-1.87873,5.79953,-0.391102,36796
-1.80014,5.99912,1.33767,24592
-1.74622,5.61882,0.78124,108290
-1.6951,5.41927,0.230061,87190
-1.62512,6.10989,0.0176125,52994
-1.56874,6.2644,-0.119494,114916
-1.51661,6.14609,-0.300531,63914
-1.4435,5.92365,1.33007,34578
-1.38728,5.13288,1.31856,108195
-1.33496,4.35152,1.08379,81304
-1.26478,5.25165,0.700672,52900
-1.20876,6.06696,0.0300336,117957
-1.15786,6.0285,-0.59419,59354
-1.09001,6.70367,-0.759546,10963
-1.02145,6.81564,-0.478775,58457
-0.970492,6.49164,-0.93819,117522
-0.914489,6.75746,-0.88362,53996
-0.844451,6.33459,-0.436362,83200
-0.792582,6.45302,-0.682562,107990
-0.740477,6.39227,-0.939751,27837
-0.659024,5.09172,0.0317644,19681
-0.605428,5.13167,-0.0273897,97817
-0.554295,5.18673,-0.196211,93611
-0.489403,5.87241,-0.468053,35298
-0.425424,5.95383,-0.704116,98570
-0.374626,6.08699,-1.06792,94290
-0.32236,6.36008,-1.73313,15787
-0.238554,6.85667,1.11611,2791
-0.179757,6.4978,1.32397,42822
-0.128984,6.57971,1.34093,118932
-0.0777293,6.48119,1.47711,59558
-0.0028222,5.20667,2.18037,28479
0.0538295,4.62174,1.95458,104154
0.104712,4.59495,1.69839,85946
0.161363,4.85227,1.85156,14890
0.239569,5.76991,3.16871,38345
0.291806,4.5006,1.7545,110508
0.343908,3.39229,0.74673,68901
0.413461,3.97054,1.44553,23394
0.475376,4.98761,2.30134,89044
0.526373,4.73933,2.64423,101067
0.585382,4.36464,2.5371,28890
0.657187,4.70987,1.94058,69355
0.708532,4.75103,1.55225,115131
0.76437,4.86363,1.12188,41270
0.836914,1.34767,1.60032,68925
0.888711,0.444261,0.811421,114515
0.941551,1.32605,0.00699296,39064
1.01881,6.99265,1.77719,38423
1.07199,7.19974,1.40571,110898
1.12321,7.20765,0.726672,69759
1.18214,5.7388,-0.162559,9680
1.26056,1.31889,1.59185,36923
1.31177,0.867575,1.19379,116795
1.36385,0.863522,0.988103,70004
1.43629,1.83485,1.12031,53721
1.49072,2.02536,1.16284,116066
1.54333,2.55427,0.942052,58171
1.61709,0.0604271,1.0426,51870
1.67086,0.190249,0.693118,118249
1.7219,0.218659,0.414442,54380
1.7918,0.556536,1.62442,10109
1.85806,0.58947,1.446,62962
1.909,0.862408,0.656122,117881
1.96078,0.556272,-0.138705,39795
2.03942,2.57658,1.46414,20782
2.09471,2.26843,1.87783,96955
2.14619,2.30296,1.81402,97960
2.21382,1.5368,0.569791,62634
2.27066,0.857452,0.391025,121829
2.32256,0.795201,0.328794,55872
2.39711,1.61388,0.0959125,50841
2.45086,2.01154,-0.190098,117296
2.50482,2.06713,-0.419783,63002
2.57591,1.78656,0.804503,73639
2.62839,1.40212,0.406632,114295
2.68066,1.28536,-0.0786065,35627
2.75979,2.8413,1.4646,28889
2.81342,2.78912,0.774592,106516
2.86451,2.75703,-0.0331961,82509
2.93446,1.76493,1.08214,40556
2.99287,0.761134,0.620099,113843
3.04449,1.0799,-0.690869,77621
3.11549,1.99469,0.054204,50497
3.1713,2.37536,-0.252882,113565
3.22409,2.32996,-0.679905,66659
3.29651,1.19187,0.3638,54725
3.35048,1.12057,-0.249878,120194
3.40146,1.43445,-1.68347,52097
3.47699,4.04838,-0.773847,18647
3.53523,3.93337,-0.787937,90023
3.58654,4.26423,-1.08876,100097
3.65094,2.02053,-0.39466,47127
3.71331,0.363466,-0.629859,106910
3.76438,0.557376,-1.23929,82530
3.82169,0.889716,-1.76166,15359
3.90003,3.09959,-1.11597,39157
3.95152,3.41577,-1.55298,113107
4.00379,3.79566,-1.56125,66210
4.07447,5.51387,-0.291086,26534
4.13462,5.6047,-0.649491,91292
4.1866,5.74653,-1.63242,96146
4.25178,4.53342,-1.55195,49415
4.3131,3.67905,-0.768471,108382
4.36423,4.14528,-1.22366,78612
4.42404,4.0837,-0.758575,15126
4.49869,2.0335,0.607316,55667
4.54965,1.84618,-0.634422,119476
4.601,1.95875,-1.18908,45749
4.67083,3.10091,-1.21728,5706
4.7392,4.20771,-0.659897,45312
4.79108,4.37141,-0.696525,119218
4.84606,3.8663,-0.448842,69688
4.91485,0.258498,-0.00489768,92373
4.96652,0,-1.10301,104012
5.02095,0.350744,-2.09448,23176
5.09971,4.00274,-0.233003,40290
5.15162,4.2796,-1.01239,117311
5.20248,4.32826,-1.76639,61884
5.25554,4.71,-2.30568,6273
Pentanenitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-7.00783,10.8282,-1.00525,387
-6.95177,12.0108,0.400969,14210
-6.90014,12.1945,0.108194,86033
-6.84828,12.245,0.051759,103575
-6.78411,12.3057,0.230927,52907
-6.72259,12.0013,0.208632,108725
-6.67063,12.1505,0.161057,79114
-6.601,13.1451,1.04908,36131
-6.54184,13.494,0.882459,107863
-6.49089,13.5785,0.334098,82043
-6.4227,13.1586,0.47857,30963
-6.36071,12.4918,0.986182,94894
-6.30939,11.9745,0.944939,95198
-6.25719,10.8385,0.855259,17645
-6.17208,13.3376,2.69799,6991
-6.11734,12.6229,2.12875,65237
-6.06645,12.1182,1.5359,114381
-6.01241,11.9682,1.10334,42581
-5.93754,13.4071,1.80719,51252
-5.88473,13.725,1.44959,116306
-5.83303,13.9001,1.00836,53815
-5.75976,13.9831,1.40479,18176
-5.6994,13.8498,1.30621,88386
-5.64882,14.0812,0.981706,103963
-5.58565,14.6703,1.13989,40927
-5.5209,15.4052,1.34451,101658
-5.47001,15.142,0.926218,92765
-5.40189,17.3164,0.777863,42533
-5.34221,18.3927,-0.220514,111996
-5.29164,18.5357,-1.21155,77809
-5.23589,18.4152,-1.92982,10048
-5.1537,15.5909,1.62719,26296
-5.10182,14.9069,1.29103,106183
-5.05026,14.7619,1.20687,84826
-4.98049,13.4067,1.31867,49980
-4.92364,12.6527,1.29861,118691
-4.87281,12.4724,0.948619,62479
-4.80399,13.0423,1.3883,12316
-4.73732,12.7946,1.84949,64041
-4.68655,12.0122,1.04284,116549
-4.63309,10.9103,0.175492,41448
-4.55687,13.6485,1.29665,45342
-4.50404,13.9422,1.16837,114793
-4.45256,13.5494,0.722415,60346
-4.39282,12.3113,1.04427,7599
-4.31482,11.637,2.38232,34808
-4.26304,11.2019,1.5095,113089
-4.21201,11.081,0.318276,70401
-4.14232,11.4826,0.51235,20648
-4.07949,11.6555,1.61758,86153
-4.02842,11.6276,1.23449,104107
-3.96939,11.0564,1.78475,31291
-3.89842,9.90442,2.78554,73884
-3.84716,9.87339,1.60192,113907
-3.78691,9.19977,1.23885,52505
-3.72105,8.26541,1.74268,100559
-3.67025,8.14833,1.56622,90560
-3.61042,8.7149,1.75776,21641
-3.53737,11.4062,1.58346,59575
-3.4859,11.5592,1.04926,114481
-3.43337,11.5151,0.96034,45211
-3.35758,10.107,2.09701,15510
-3.29889,9.31019,1.81168,87160
-3.24901,8.75364,1.08763,106392
-3.18896,9.22297,0.917664,29975
-3.11894,10.3594,1.26609,77746
-3.0673,10.5224,1.0014,111367
-3.00701,9.00346,1.16941,47756
-2.94073,8.28762,1.20419,102460
-2.8902,8.25402,0.467582,92365
-2.83236,7.88654,0.0568779,18465
-2.75648,8.74962,0.387937,46102
-2.70446,8.97149,0.582779,114499
-2.65247,9.10187,0.416199,57821
-2.57875,8.93277,1.00415,22932
-2.5204,9.19473,0.405917,98718
-2.47022,9.27849,-0.381699,96469
-2.41269,9.20182,-0.938958,18405
-2.33583,10.0301,0.887844,54850
-2.28461,9.58952,-0.386867,135329
-2.22496,9.14561,-0.866833,116225
-2.16748,9.04693,-0.548029,109716
-2.11459,8.92785,-0.688012,33853
-2.03525,9.52708,-0.488376,17584
-1.98018,9.36387,-0.739006,92796
-1.9291,9.37879,-0.898014,98850
-1.87326,9.35325,-0.706135,21911
-1.79561,9.09378,-0.520333,45849
-1.74446,8.91617,-0.932,121115
-1.69353,9.13004,-1.56019,55513
-1.61704,9.93263,-0.0580007,23448
-1.56099,9.25133,-0.135556,97897
-1.50972,8.95369,-0.222161,93112
-1.44515,10.0127,0.151991,30285
-1.37968,10.0391,0.590545,93402
-1.32931,9.96535,0.274363,101684
-1.26671,9.64487,0.457579,30832
-1.19948,8.34389,0.263719,85869
-1.14831,8.20855,0.0263011,104291
-1.0926,8.32801,0.0669654,28212
-1.01708,8.02781,1.27167,58654
-0.965889,7.76901,0.822349,117030
-0.913595,7.81347,0.691508,46805
-0.836744,8.00919,1.84575,32917
-0.782259,7.61979,2.03347,109148
-0.731407,7.61297,1.80484,77164
-0.678252,7.77595,1.58382,9813
-0.591925,7.25711,1.39206,10557
-0.538556,7.06167,1.38916,81983
-0.488419,7.14589,0.799116,110023
-0.431243,7.33101,0.760834,30707
-0.35773,6.78209,1.08931,65232
-0.306293,6.89462,0.573464,114434
-0.252182,6.93043,0.0108381,43965
-0.177158,7.54919,0.575199,54867
-0.124839,7.49864,0.198925,119722
-0.0661665,7.6597,-0.103271,85839
-0.00378687,7.39294,-0.194207,118582
0.0476563,7.39589,-0.235622,67139
0.103875,7.87863,-0.354628,7738
0.186815,13.525,1.84932,20838
0.239151,14.0406,1.6001,101584
0.289673,13.862,1.309,89584
0.341991,13.4773,1.05333,14567
0.404987,13.1497,-0.737704,374
0.489774,11.2831,3.67143,5264
0.543207,11.074,3.24607,59587
0.594082,11.1775,2.35962,118216
0.647463,11.1538,1.69923,44979
0.722351,11.8815,2.26448,49549
0.775615,11.712,1.80534,115251
0.827601,11.4054,1.27429,57374
0.901777,10.1747,2.3042,28690
0.95862,9.55231,2.10648,104506
1.00948,8.86506,1.234,85395
1.07199,8.50756,1.81951,21502
1.14199,8.43671,3.04123,68350
1.19304,8.06435,2.67571,112292
1.24559,7.71911,2.29933,36543
1.30272,6.48052,3.22659,2698
1.38858,7.81101,6.05252,10356
1.441,7.02903,5.27974,76634
1.49261,6.77907,5.27583,108849
1.55258,6.28954,5.27527,49134
1.61905,6.21749,5.35266,96711
1.67081,5.64918,4.92885,94563
1.73166,5.51327,4.27721,28613
1.80108,4.42582,4.98769,80251
1.85187,4.52997,4.69232,109574
